이름,차량번호,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격),클러스터,유사도
더 뉴 팰리세이드  디젤  캘리그래피,차량번호 326너9259,24,7300.0,디젤,2199.0,검정색,"60개월 / 100,000km",45200000,,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,"810,120",3,0.0294406196846047
포터2 일렉트릭 슈퍼캡  초장축 스마트 스페셜 ,차량번호 85나3638,23,13800.0,전기,180.0,흰색,정보없음,600000,운용,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.029295768306578658
포터2 일렉트릭 슈퍼캡  초장축 스마트 스페셜 ,차량번호 85나3638,23,13800.0,전기,180.0,흰색,정보없음,600000,운용,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.029295768306578658
K5 2세대  LPi  MX 프레스티지,차량번호 16노1733,18,136335.0,LPG,1999.0,진주색,정보없음,9200000,,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,4.0,"6,150,306",2.0,"1,356,943",3,0.02928720158017309
K5 2세대  LPi  MX 프레스티지,차량번호 16노1733,18,136335.0,LPG,1999.0,진주색,정보없음,9200000,,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,4.0,"6,150,306",2.0,"1,356,943",3,0.02928720158017309
싼타페 더 프라임   디젤  익스클루시브  ,차량번호 55라7049,16,154000.0,디젤,2199.0,검정색,불가,12500000,35,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,3.0,"1,838,344",1.0,"360,000",3,0.02919324337685154
싼타페 더 프라임   디젤  익스클루시브  ,차량번호 63가8014,18,109000.0,디젤,1995.0,흰색,불가,12900000,41,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.02919324337685154
K5 3세대   프레스티지   ,차량번호 291나6956,21,55300.0,가솔린,1999.0,흰색,"60개월 / 100,000km",21300000,80,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.02910396601824971
K5 3세대   프레스티지   ,차량번호 291나6956,21,55300.0,가솔린,1999.0,흰색,"60개월 / 100,000km",21300000,80,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.02910396601824971
K5 3세대   프레스티지   ,차량번호 291나6956,21,55300.0,가솔린,1999.0,흰색,"60개월 / 100,000km",21300000,80,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.02910396601824971
코란도 스포츠   디젤  익스트림   ,차량번호 90거8173,17,85000.0,디젤,1998.0,흰색,불가,11500000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.028843471621703597
포터2 슈퍼캡 초장축 스마트,차량번호 812가3462,22,15681.0,디젤,2497.0,갈색,불가,16500000,,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.02862073769561783
더 뉴 레이   1인승 밴 프레스티지 스페셜   ,차량번호 113수3290,24,30000.0,가솔린,998.0,흰색,"60개월 / 100,000km",11300000,,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.02828901282880883
더 뉴 레이  1인승 밴  프레스티지 스페셜,차량번호 160두8843,19,145000.0,가솔린,998.0,흰색,만료,6300000,46,0,0,0,0,0,0,0,0,0,0,1,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.02828901282880883
더 뉴 레이  1인승 밴  프레스티지 스페셜,차량번호 160두8843,19,145000.0,가솔린,998.0,흰색,만료,6300000,46,0,0,0,0,0,0,0,0,0,0,1,7.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.02828901282880883
올 뉴 카니발   디젤 7인승 리무진 VIP,차량번호 24노0171,17,72667.0,디젤,2199.0,진회색,만료,16500000,46,1,1,1,1,1,1,1,1,1,1,1,4.0,0.0,0.0,0.0,0.0,3.0,"14,868,252",0.0,0,3,0.02821852248032947
포터2  슈퍼캡 초장축 모던   ,차량번호 801무2968,22,4000.0,디젤,2497.0,청색,정보없음,18800000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.028172349805451174
올 뉴 투싼  디젤  스타일 스페셜,차량번호 09조0883,17,81000.0,디젤,1995.0,흰색,만료,11300000,44,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,1.0,"299,233",1.0,"326,798",3,0.02799552563666093
그랜드 카니발 R   디젤 GLX 기본형,차량번호 71러8372,12,87645.0,디젤,2199.0,검정색,만료,5800000,,1,1,1,1,1,1,1,1,1,1,1,3.0,0.0,0.0,0.0,0.0,1.0,"294,730",0.0,0,3,0.02772867939000084
그랜드 카니발 R   디젤 GLX 기본형,차량번호 71러8372,12,87645.0,디젤,2199.0,검정색,만료,5800000,,1,1,1,1,1,1,1,1,1,1,1,3.0,0.0,0.0,0.0,0.0,1.0,"294,730",0.0,0,3,0.02772867939000084
그랜저IG   LPi  익스클루시브 스페셜   ,차량번호 63노4589,18,97406.0,LPG,2999.0,흰색,불가,21800000,62,1,1,1,1,1,1,1,1,1,1,1,3.0,0.0,0.0,0.0,0.0,2.0,"2,441,810",2.0,"816,780",3,0.027711606238537446
포터2  LPG 슈퍼캡 초장축 프리미엄   ,차량번호 824너1496,25,377.0,LPG,2469.0,청색,정보없음,23800000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.027450682975876443
디 올 뉴 투싼  가솔린 터보  N 라인 인스퍼레이션,차량번호 198호3075,24,10000.0,가솔린,1598.0,흰색,"60개월 / 100,000km",1000000,소유,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.027214788219955776
디 올 뉴 투싼  가솔린 터보  N 라인 인스퍼레이션,차량번호 198호3075,24,10000.0,가솔린,1598.0,흰색,"60개월 / 100,000km",1000000,소유,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.027214788219955776
K5 2세대   LPi MX 럭셔리,차량번호 109마9849,18,107750.0,LPG,1999.0,은색,정보없음,9400000,,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.027043557057884453
K5 2세대  LPi MX 럭셔리,차량번호 174조4514,16,163226.0,LPG,1999.0,흰색,정보없음,5390000,,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,2.0,"4,307,898",0.0,0,3,0.027043557057884453
K5 2세대  LPi  MX 럭셔리,차량번호 191오2205,18,171825.0,LPG,1999.0,흰색,정보없음,6900000,,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.027043557057884453
봉고3  CRDi 킹캡 초장축 노블레스   ,차량번호 90오0296,20,141000.0,디젤,2497.0,청색,불가,11000000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026949862561169904
K5  럭셔리,차량번호 64주1826,11,129470.0,가솔린,1998.0,흰색,만료,4190000,16,0,0,0,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.0,0.0,1.0,"4,511,030",4.0,"27,383,450",3,0.02689029426163232
포터2  CRDi 더블캡 초장축 스마트   ,차량번호 82서5540,22,27530.0,디젤,2497.0,흰색,정보없음,17900000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.02658207591678031
포터2 CRDi 더블캡 초장축 스마트,차량번호 89어5813,22,76772.0,디젤,2497.0,청색,정보없음,15600000,,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,2.0,"1,850,837",3,0.02658207591678031
포터2 CRDi 더블캡 초장축 스마트,차량번호 89어5813,22,76772.0,디젤,2497.0,청색,정보없음,15600000,,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,2.0,"1,850,837",3,0.02658207591678031
포터2 CRDi 더블캡 초장축 스마트,차량번호 89어5813,22,76772.0,디젤,2497.0,청색,정보없음,15600000,,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,2.0,"1,850,837",3,0.02658207591678031
포터2  파워게이트 -  ,차량번호 84어6511,21,97635.0,디젤,2497.0,청색,불가,17500000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -  ,차량번호 90너2436,18,151736.0,디젤,2497.0,파란색,불가,13900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 88머9057,16,90318.0,디젤,2497.0,흰색,불가,10900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 95소0945,18,191579.0,디젤,2497.0,흰색,불가,10900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -  ,차량번호 87루2252,14,328498.0,디젤,2497.0,진청색,불가,5990000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -  ,차량번호 82로5265,15,276590.0,디젤,2497.0,흰색,불가,6990000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 82로1158,18,214723.0,디젤,2497.0,흰색,불가,10990000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 82보6465,17,254305.0,디젤,2497.0,흰색,불가,8900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 84보3533,20,194200.0,디젤,2497.0,흰색,불가,11900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 88고0933,20,189520.0,디젤,2497.0,흰색,불가,14900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -  ,차량번호 90너2436,18,151736.0,디젤,2497.0,파란색,불가,13900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 88머9057,16,90318.0,디젤,2497.0,흰색,불가,10900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 95소0945,18,191579.0,디젤,2497.0,흰색,불가,10900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -  ,차량번호 87루2252,14,328498.0,디젤,2497.0,진청색,불가,5990000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -  ,차량번호 82로5265,15,276590.0,디젤,2497.0,흰색,불가,6990000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 82로1158,18,214723.0,디젤,2497.0,흰색,불가,10990000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 82보6465,17,254305.0,디젤,2497.0,흰색,불가,8900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 84보3533,20,194200.0,디젤,2497.0,흰색,불가,11900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 88고0933,20,189520.0,디젤,2497.0,흰색,불가,14900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -  ,차량번호 90너2436,18,151736.0,디젤,2497.0,파란색,불가,13900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 88머9057,16,90318.0,디젤,2497.0,흰색,불가,10900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 95소0945,18,191579.0,디젤,2497.0,흰색,불가,10900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -  ,차량번호 87루2252,14,328498.0,디젤,2497.0,진청색,불가,5990000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -  ,차량번호 82로5265,15,276590.0,디젤,2497.0,흰색,불가,6990000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 82로1158,18,214723.0,디젤,2497.0,흰색,불가,10990000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 82보6465,17,254305.0,디젤,2497.0,흰색,불가,8900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 84보3533,20,194200.0,디젤,2497.0,흰색,불가,11900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
포터2  파워게이트 -   ,차량번호 88고0933,20,189520.0,디젤,2497.0,흰색,불가,14900000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026571820512316408
그랜드스타렉스  어린이보호차 디젤 12인승   ,차량번호 79조6067,16,129107.0,디젤,2497.0,진회색,불가,28500000,,0,0,0,0,0,0,0,0,0,0,1,6.0,0.0,0.0,0.0,0.0,3.0,"4,392,836",1.0,"6,802,791",3,0.026426711619581034
그랜드스타렉스  어린이보호차 디젤 12인승    ,차량번호 76마1225,12,152253.0,디젤,2497.0,노란색,불가,6990000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026426711619581034
그랜드스타렉스 어린이보호차 디젤 12인승 ,차량번호 73저6252,13,147000.0,디젤,2497.0,노란색,만료,4990000,,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,0.0,0.0,0.0,1.0,"507,186",4.0,"2,827,370",3,0.026426711619581034
그랜드스타렉스 어린이보호차 디젤 12인승 ,차량번호 702누7870,16,156190.0,디젤,2497.0,노란색,만료,5990000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,1.0,"1,215,430",0.0,0,3,0.026426711619581034
그랜드스타렉스  어린이보호차 디젤 12인승    ,차량번호 76마1225,12,152253.0,디젤,2497.0,노란색,불가,6990000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026426711619581034
그랜드스타렉스  어린이보호차 디젤 12인승    ,차량번호 76마1225,12,152253.0,디젤,2497.0,노란색,불가,6990000,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026426711619581034
K3  럭셔리,차량번호 45구5475,16,78448.0,가솔린,1591.0,은색,만료,6600000,37,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,"366,000",0.0,0,3,0.026214821052215734
K3   럭셔리,차량번호 35어3733,15,34100.0,가솔린,1591.0,진회색,만료,7500000,43,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,4.0,"2,343,858",3.0,"2,198,131",3,0.026214821052215734
K3  럭셔리,차량번호 45구5475,16,78448.0,가솔린,1591.0,은색,만료,6600000,37,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,"366,000",0.0,0,3,0.026214821052215734
K3  럭셔리,차량번호 45구5475,16,78448.0,가솔린,1591.0,은색,만료,6600000,37,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,"366,000",0.0,0,3,0.026214821052215734
더 뉴 K5   럭셔리 트렌디   ,차량번호 29우1863,14,93343.0,가솔린,1999.0,검정색,불가,8400000,33,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.02621331415838575
더 뉴 K5  럭셔리 트렌디   ,차량번호 24오8213,15,23733.0,가솔린,1999.0,흰색,만료,12100000,48,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.02621331415838575
더 뉴 K5   럭셔리 트렌디   ,차량번호 29우1863,14,93343.0,가솔린,1999.0,검정색,불가,8400000,33,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.02621331415838575
더 뉴 K5  럭셔리 트렌디   ,차량번호 24오8213,15,23733.0,가솔린,1999.0,흰색,만료,12100000,48,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.02621331415838575
더 뉴 K5  럭셔리 트렌디   ,차량번호 24오8213,15,23733.0,가솔린,1999.0,흰색,만료,12100000,48,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.02621331415838575
더 뉴 그랜저   LPi  익스클루시브   ,차량번호 186너2802,21,140862.0,LPG,2999.0,검정색,불가,24900000,70,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.02619945941529761
쏘나타 뉴 라이즈   터보 익스클루시브   ,차량번호 142가9175,19,147000.0,가솔린,1998.0,검정색,불가,14900000,45,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.026057534700768166
올 뉴 모닝   럭셔리   ,차량번호 281저1972,15,76000.0,가솔린,998.0,흰색,불가,5500000,46,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.026032867936859737
더 뉴 모닝  럭셔리,차량번호 04버0807,17,83000.0,가솔린,998.0,흰색,만료,6000000,50,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,"255,792",1.0,"369,759",3,0.026032867936859737
더 뉴 모닝   럭셔리   ,차량번호 10보0440,17,128371.0,가솔린,998.0,베이지색,만료,2990000,25,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,9.0,"10,813,791",3.0,"3,416,400",3,0.026032867936859737
올 뉴 모닝  럭셔리,차량번호 04라3826,18,96781.0,가솔린,998.0,흰색,만료,7300000,61,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.026032867936859737
올 뉴 모닝   럭셔리,차량번호 27두7790,19,22000.0,가솔린,998.0,진주색,불가,9000000,76,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.026032867936859737
올 뉴 모닝  럭셔리,차량번호 49조4302,12,91645.0,가솔린,998.0,흰색,만료,2790000,23,0,0,0,0,0,0,0,0,0,0,1,7.0,0.0,0.0,0.0,0.0,4.0,"4,169,699",4.0,"2,552,290",3,0.026032867936859737
더 뉴 모닝   럭셔리   ,차량번호 10보0440,17,128371.0,가솔린,998.0,베이지색,만료,2990000,25,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,9.0,"10,813,791",3.0,"3,416,400",3,0.026032867936859737
올 뉴 모닝  럭셔리,차량번호 04라3826,18,96781.0,가솔린,998.0,흰색,만료,7300000,61,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.026032867936859737
올 뉴 모닝  럭셔리,차량번호 04라3826,18,96781.0,가솔린,998.0,흰색,만료,7300000,61,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.026032867936859737
더 뉴 맥스크루즈   디젤  익스클루시브  ,차량번호 03루9080,18,73000.0,디젤,2199.0,진청색,불가,15800000,47,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.02592590207607207
레이   바이퓨얼 프레스티지  ,차량번호 17부0302,16,103575.0,가솔린/LPG겸용,998.0,하늘색,불가,9300000,55,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.025503881359418366
레이   바이퓨얼 프레스티지  ,차량번호 17부0302,16,103575.0,가솔린/LPG겸용,998.0,하늘색,불가,9300000,55,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.025503881359418366
레이   바이퓨얼 프레스티지  ,차량번호 17부0302,16,103575.0,가솔린/LPG겸용,998.0,하늘색,불가,9300000,55,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,3,0.025503881359418366
아반떼AD   터보 스포츠 익스트림 셀렉션   ,차량번호 241다4994,18,126000.0,가솔린,1591.0,흰색 (맥스 컬러풀 그린),불가,9900000,40,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,3,0.025203234777593165
쏘나타 하이브리드  HEV 인스퍼레이션,차량번호 329마9739,22,25310.0,가솔린 하이브리드,1999.0,검정색,"60개월 / 100,000km",28700000,,0,0,0,0,0,0,0,0,0,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.02512372142052976
쏘나타 하이브리드  HEV 인스퍼레이션,차량번호 354소4046,20,30073.0,가솔린 하이브리드,1999.0,흰색,만료,29500000,78,1,1,1,1,1,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.02512372142052976
아반떼AD  스마트 스페셜,차량번호 01수0634,17,120000.0,가솔린,1591.0,진회색,만료,7790000,41,0,0,0,0,0,0,0,0,0,0,1,6.0,0.0,0.0,0.0,0.0,1.0,"533,870",4.0,"1,713,650",3,0.025106009831366616
아반떼AD   스마트 스페셜   ,차량번호 27루0976,16,86584.0,가솔린,1591.0,청색,불가,10900000,58,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,3,0.025106009831366616
K9   프레스티지,차량번호 57수2961,13,195620.0,가솔린,3342.0,진회색,만료,6500000,12,0,0,0,0,0,0,0,0,0,0,1,4.0,0.0,0.0,0.0,0.0,7.0,"6,051,359",8.0,"5,035,786",3,0.024690101968180646
아반떼AD   모던 스페셜,차량번호 39부0685,17,127000.0,가솔린,1591.0,흰색,만료,7600000,37,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,3.0,"2,838,619",0.0,0,3,0.024602799193376844
아반떼AD   모던 스페셜,차량번호 39부0685,17,127000.0,가솔린,1591.0,흰색,만료,7600000,37,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0.0,0.0,0.0,3.0,"2,838,619",0.0,0,3,0.024602799193376844
더 뉴 모하비   디젤  프레지던트  ,차량번호 293나1281,18,208000.0,디젤,2959.0,검정색,불가,12990000,,0,0,0,0,0,0,0,0,0,0,1,3.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.024469203379450896
더 뉴 모하비   디젤  프레지던트   ,차량번호 63머6442,18,66521.0,디젤,2959.0,검정색,불가,24900000,,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,3,0.024469203379450896
더 뉴 모하비  디젤   프레지던트,차량번호 05무4046,18,67996.0,디젤,2959.0,흰색,만료,22500000,,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,1.0,"2,180,280",2.0,"1,190,607",3,0.024469203379450896
더 뉴 모하비  디젤  프레지던트,차량번호 02주1858,17,187002.0,디젤,2959.0,진주투톤,불가,12000000,,1,1,1,1,1,1,1,1,1,1,1,2.0,0.0,0.0,0.0,0.0,1.0,"150,640",5.0,"2,195,066",3,0.024469203379450896
더 뉴 레이  시그니처,차량번호 109호3186,25,10.0,가솔린,998.0,흰색,"60개월 / 100,000km",2000000,소유,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.024444963913720384
더 뉴 레이  시그니처,차량번호 221하2649,24,5000.0,가솔린,998.0,진주색,"60개월 / 100,000km",500000,소유,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.024444963913720384
더 뉴 레이  시그니처,차량번호 109호3693,25,20.0,가솔린,998.0,흰색,"60개월 / 100,000km",5760000,반납,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.024444963913720384
더 뉴 레이  시그니처,차량번호 102마6653,22,17004.0,가솔린,998.0,파란색,"60개월 / 100,000km",13000000,82,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.024444963913720384
더 뉴 레이  시그니처,차량번호 100거5776,24,12726.0,가솔린,998.0,진회색,"60개월 / 100,000km",17500000,110,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.024444963913720384
더 뉴 레이  시그니처,차량번호 116노2097,24,6379.0,가솔린,998.0,흰색,"60개월 / 100,000km",17900000,113,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.024444963913720384
더 뉴 레이  시그니처,차량번호 251누7687,24,9410.0,가솔린,998.0,흰색,"60개월 / 100,000km",18500000,117,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.024444963913720384
더 뉴 레이  시그니처,차량번호 398나2033,22,20904.0,가솔린,998.0,흰색,"60개월 / 100,000km",14490000,92,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.024444963913720384
더 뉴 레이  시그니처,차량번호 370라9327,23,12294.0,가솔린,998.0,흰색,"60개월 / 100,000km",17400000,110,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.024444963913720384
더 뉴 레이   시그니처,차량번호 224저8447,21,17892.0,가솔린,998.0,흰색,"60개월 / 100,000km",14100000,89,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.024444963913720384
더 뉴 레이  시그니처,차량번호 102나2178,23,21305.0,가솔린,998.0,검정색,"60개월 / 100,000km",17490000,110,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.024444963913720384
더 뉴 레이   시그니처,차량번호 267가4920,23,26605.0,가솔린,998.0,검정색,"60개월 / 100,000km",16400000,103,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.024444963913720384
더 뉴 레이  시그니처,차량번호 109호3186,25,10.0,가솔린,998.0,흰색,"60개월 / 100,000km",2000000,소유,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.024444963913720384
더 뉴 레이  시그니처,차량번호 221하2649,24,5000.0,가솔린,998.0,진주색,"60개월 / 100,000km",500000,소유,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3,0.024444963913720384
